1.png,1
2.png,1
3.png,1
4.png,1
5.png,1
6.png,1
7.png,1
8.png,1
9.png,1
10.png,1
11.png,1
12.png,1
13.png,1
14.png,1
15.png,1
16.png,1
17.png,1
18.png,1
19.png,1
20.png,1
21.png,1
22.png,1
23.png,1
24.png,1
25.png,1
26.png,1
27.png,1
28.png,1
29.png,1
30.png,1
31.png,1
32.png,1
33.png,1
34.png,1
35.png,1
36.png,1
37.png,1
38.png,1
39.png,1
40.png,1
41.png,1
42.png,0
43.png,1
44.png,1
45.png,0
46.png,0
47.png,0
48.png,1
49.png,0
50.png,0
51.png,1
52.png,1
53.png,0
54.png,0
55.png,0
56.png,1
57.png,1
58.png,0
59.png,1
60.png,1
61.png,0
62.png,0
63.png,0
64.png,1
65.png,1
66.png,1
67.png,0
68.png,0
69.png,1
70.png,1
71.png,1
72.png,1
73.png,0
74.png,1
75.png,1
76.png,1
77.png,0
78.png,0
79.png,1
80.png,1
81.png,1
82.png,0
83.png,1
84.png,1
85.png,0
86.png,0
87.png,1
88.png,1
89.png,1
90.png,1
91.png,0
92.png,1
93.png,0
94.png,0
95.png,0
96.png,1
97.png,1
98.png,0
99.png,0
100.png,0
101.png,1
102.png,1
103.png,0
104.png,1
105.png,0
106.png,0
107.png,1
108.png,1
109.png,1
110.png,0
111.png,1
112.png,1
113.png,1
114.png,0
115.png,0
116.png,0
117.png,0
118.png,1
119.png,1
120.png,0
121.png,0
122.png,1
123.png,1
124.png,0
125.png,0
126.png,1
127.png,1
128.png,1
129.png,0
130.png,1
131.png,1
132.png,0
133.png,0
134.png,1
135.png,0
136.png,1
137.png,1
138.png,1
139.png,0
140.png,0
141.png,1
142.png,1
143.png,1
144.png,0
145.png,0
146.png,0
147.png,1
148.png,1
149.png,0
150.png,1
151.png,0
152.png,0
153.png,1
154.png,1
155.png,1
156.png,1
157.png,0
158.png,0
159.png,0
160.png,0
161.png,1
162.png,1
163.png,1
164.png,1
165.png,1
166.png,1
167.png,1
168.png,1
169.png,0
170.png,0
171.png,0
172.png,0
173.png,0
174.png,0
175.png,0
176.png,0
177.png,0
178.png,0
179.png,0
180.png,0
181.png,1
182.png,1
183.png,1
184.png,1
185.png,1
186.png,1
187.png,1
188.png,1
189.png,1
190.png,1
191.png,1
192.png,1
193.png,1
194.png,1
195.png,1
196.png,1
197.png,1
198.png,1
199.png,1
200.png,1
201.png,1
202.png,1
203.png,1
204.png,0
205.png,0
206.png,0
207.png,0
208.png,0
209.png,0
210.png,0
211.png,0
212.png,0
213.png,0
214.png,0
215.png,0
216.png,0
217.png,0
218.png,0
219.png,0
220.png,0
221.png,0
222.png,0
223.png,0
224.png,0
225.png,0
226.png,0
227.png,0
228.png,0
229.png,0
230.png,0
231.png,0
232.png,0
233.png,0
234.png,0
235.png,0
236.png,0
237.png,0
238.png,0
239.png,0
240.png,0
241.png,1
242.png,1
243.png,1
244.png,1
245.png,1
246.png,1
247.png,1
248.png,1
249.png,1
250.png,1
251.png,1
252.png,1
253.png,1
254.png,1
255.png,1
256.png,1
257.png,1
258.png,1
259.png,1
260.png,1
261.png,1
262.png,0
263.png,0
264.png,0
265.png,0
266.png,0
267.png,0
268.png,0
269.png,0
270.png,0
271.png,0
272.png,0
273.png,0
274.png,0
275.png,0
276.png,0
277.png,0
278.png,0
279.png,0
280.png,0
281.png,0
282.png,0
283.png,0
284.png,0
285.png,0
286.png,0
287.png,0
288.png,1
289.png,1
290.png,1
291.png,1
292.png,1
293.png,1
294.png,1
295.png,1
296.png,1
297.png,1
298.png,1
299.png,1
300.png,1
301.png,1
302.png,1
303.png,1
304.png,1
305.png,1
306.png,1
307.png,1
308.png,1
309.png,0
310.png,0
311.png,0
312.png,0
313.png,0
314.png,0
315.png,0
316.png,0
317.png,0
318.png,0
319.png,0
320.png,0
321.png,0
322.png,0
323.png,0
324.png,0
325.png,0
326.png,0
327.png,0
328.png,0
329.png,0
330.png,0
331.png,1
332.png,1
333.png,1
334.png,1
335.png,1
336.png,1
337.png,1
338.png,1
339.png,1
340.png,1
341.png,1
342.png,1
343.png,1
344.png,0
345.png,0
346.png,0
347.png,0
348.png,0
349.png,0
350.png,0
351.png,0
352.png,0
353.png,0
354.png,0
355.png,0
356.png,0
357.png,0
358.png,0
359.png,0
360.png,0
